更新时间,#genre#
20251209-14-33-43,url


whitelist,#genre#
CCTV1,http://27.191.200.205:19999/rtp/239.254.200.45:8008
CCTV1,http://223.198.240.15:4000/rtp/239.253.64.120:5140
CCTV1,http://118.78.196.222:55555/rtp/226.0.2.153:9136
CCTV1,http://180.105.201.157:9981/rtp/239.49.8.129:6000
CCTV1,http://111.162.207.134:8686/rtp/225.1.1.120:5002
CCTV1,http://39.77.27.74:4002/rtp/239.253.254.89:8000
CCTV1,http://115.171.80.192:1688/rtp/225.1.8.33:8002
CCTV1,http://106.59.3.73:55555/rtp/239.200.201.45:8800
CCTV1,http://106.59.3.73:55555/rtp/239.200.200.14:8852
CCTV1,http://171.113.212.67:4022/rtp/239.254.96.96:8550
CCTV1,http://39.77.27.74:4002/rtp/239.253.254.77:8000
CCTV1,http://223.167.230.129:4022/rtp/239.45.3.145:5140
CCTV1,http://1.195.212.66:8822/rtp/239.16.20.1:10010
CCTV1,http://116.235.57.22:4022/rtp/239.45.3.145:5140
CCTV1,http://218.86.185.130:8188/rtp/238.255.2.91:5999
CCTV1,http://106.116.241.8:9999/rtp/239.254.200.45:8008
CCTV1,http://111.113.89.137:2000/rtp/239.121.4.113:8636
CCTV1,http://36.46.98.142:8025/rtp/239.112.205.59:5140
CCTV1,http://180.105.201.157:9981/rtp/239.49.8.19:9614
CCTV1,http://114.107.44.88:8188/rtp/238.1.78.166:7200
CCTV1,http://115.171.80.192:1688/rtp/225.1.8.53:8060
CCTV1,http://114.254.38.135:18888/rtp/239.3.1.129:8008
CCTV1,http://115.171.80.192:1688/rtp/225.1.8.126:8002
CCTV1,http://106.59.3.73:55555/rtp/239.200.200.2:8080
CCTV1,http://106.120.13.167:4022/rtp/225.1.8.53:8060
CCTV1,http://106.120.13.167:4022/rtp/225.1.8.33:8002
CCTV1,http://106.120.13.167:4022/rtp/225.1.8.81:8176
CCTV1,http://61.159.135.161:18000/rtp/238.255.2.91:5999
CCTV1,http://183.162.105.167:8888/rtp/238.1.78.166:7200
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
CCTV1,http://106.118.20.156:8188/rtp/239.254.200.45:8008
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1,http://61.159.134.76:4022/rtp/238.255.2.91:5999
CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV1,http://115.171.80.192:1688/rtp/225.1.8.81:8176
CCTV1,http://115.171.80.192:1688/rtp/225.1.8.1:8008
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1
CCTV1,https://iptv.catvod.com/live.php?id=CCTV-1
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8
CCTV1,http://115.171.80.192:1688/rtp/225.1.8.210:8068
CCTV1,http://114.100.195.213:4022/rtp/238.1.78.166:7200
CCTV1,http://115.171.80.192:1688/rtp/225.1.8.194:4120
CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.130:5140
CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
CCTV1,http://144.255.32.94:8288/rtp/239.21.1.1:5002
CCTV1,http://144.255.32.94:8288/rtp/239.21.1.120:5002
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.1:8008
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV1,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
