更新时间,#genre#
20251209-14-33-43,url


blacklist,#genre#
CCTV1,http://106.120.13.167:4022/rtp/225.1.8.1:8008
CCTV1,http://106.120.13.167:4022/rtp/225.1.8.126:8002
CCTV1,http://106.120.13.167:4022/rtp/225.1.8.210:8068
CCTV1,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000005000001827/1.m3u8?channel-id=bestzb&Contentid=5000000005000001827&livemode=1&stbId=m
CCTV1,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=m
CCTV1,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000006000233001/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233001&livemode=1&stbId=m
CCTV1,http://[2409:8087:1e01:23::10]:8112/000000001000/7284663355496915828/1.m3u8?channel-id=wasusyt&Contentid=7284663355496915828&livemode=1&stbId=m
CCTV1,http://[2409:8087:1e01:23::10]:8112/000000001000/6865782700657580918/1.m3u8?channel-id=wasusyt&Contentid=6865782700657580918&livemode=1&stbId=m
CCTV1,http://106.120.13.167:4022/rtp/225.1.8.194:4120
CCTV1,http://36.46.98.172:8025/rtp/239.112.205.59:5140
CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
CCTV1,http://61.159.135.177:4022/rtp/238.255.2.91:5999
CCTV1,http://61.159.135.86:18000/rtp/238.255.2.91:5999
CCTV1,http://114.100.195.251:4022/rtp/238.1.78.166:7200
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.126:8002
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.53:8060
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.81:8176
CCTV1,http://60.220.163.86:4000/rtp/226.0.2.153:9136
CCTV1,http://223.167.245.20:8001/rtp/239.45.3.145:5140
CCTV1,http://117.30.58.133:18888/rtp/239.61.3.61:9884
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
CCTV1,http://114.107.44.60:8188/rtp/238.1.78.166:7200
CCTV1,http://111.162.206.38:8686/rtp/225.1.1.120:5002
CCTV1,http://180.105.201.177:9981/rtp/239.49.8.19:9614
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.210:8068
CCTV1,http://115.171.80.57:1688/rtp/225.1.8.194:4120
CCTV1,http://106.83.119.18:8188/rtp/235.254.198.51:1480
CCTV1,http://115.58.216.90:4000/rtp/225.1.4.73:1102
CCTV1,http://114.254.32.249:18888/rtp/239.3.1.129:8008
CCTV1,http://27.184.29.44:12312/rtp/239.254.200.45:8008
CCTV1,http://180.105.201.177:9981/rtp/239.49.8.129:6000
CCTV1,http://106.59.3.8:55555/rtp/239.200.200.2:8080
CCTV1,http://106.59.3.8:55555/rtp/239.200.201.45:8800
CCTV1,http://106.59.3.8:55555/rtp/239.200.200.14:8852
CCTV1,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226933/1.m3u8
CCTV3,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000002000020548/1.m3u8?channel-id=bestzb&Contentid=5000000002000020548&livemode=1&stbId=m
CCTV3,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=m
CCTV4,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000005000030093/1.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=m
CCTV4,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=m
CCTV2,http://60.220.163.86:4000/rtp/226.0.2.154:9144
CCTV2,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV5,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000016619/1.m3u8?channel-id=bestzb&Contentid=5000000010000016619&livemode=1&stbId=m
