🌐央视频道,#genre#
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20251125100053467c39a6f3234e6baa9aff7c572c38a2&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251125100053&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.88&SecurityKey=20251125100053&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=fe508f06153d90cafdae5610e38f521f&ddCalcu=ff1ee252508f808f30e60115635de9a0dcfa
CCTV1,http://39.77.27.74:4002/rtp/239.253.254.77:8000
CCTV1,http://114.254.38.135:18888/rtp/239.3.1.129:8008
CCTV1,http://114.100.195.195:4022/rtp/238.1.78.166:7200
CCTV1,http://123.191.15.105:1111/rtp/232.0.0.27:1234
CCTV1,http://118.78.196.109:55555/rtp/226.0.2.153:9136
CCTV1,http://1.195.219.92:8822/rtp/239.16.20.1:10010
CCTV1,http://218.86.184.71:8188/rtp/238.255.2.91:5999
CCTV1,http://106.118.20.156:8188/rtp/239.254.200.45:8008
CCTV1,http://121.29.141.118:4022/rtp/239.253.92.83:8012
CCTV1,http://171.113.208.108:4022/rtp/239.254.96.96:8550
CCTV1,http://223.167.230.129:4022/rtp/239.45.3.145:5140
CCTV1,http://111.113.89.137:2000/rtp/239.121.4.113:8636
CCTV1,http://36.46.98.77:8025/rtp/239.112.205.59:5140
CCTV1,http://180.105.201.157:9981/rtp/239.49.8.129:6000
CCTV1,http://111.162.207.134:8686/rtp/225.1.1.120:5002
CCTV1,http://14.110.103.248:4022/rtp/235.254.198.51:1480
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.1:8008
CCTV1,http://39.77.27.74:4002/rtp/239.253.254.89:8000
CCTV1,http://180.105.201.157:9981/rtp/239.49.8.19:9614
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.33:8002
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.53:8060
CCTV1,http://106.59.3.73:55555/rtp/239.200.200.2:8080
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.81:8176
CCTV1,http://106.59.3.73:55555/rtp/239.200.200.14:8852
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.126:8002
CCTV1,http://106.59.3.73:55555/rtp/239.200.201.45:8800
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.194:4120
CCTV1,http://106.59.3.73:55555/rtp/239.200.200.117:8712
CCTV1,http://115.171.216.39:4000/rtp/225.1.8.210:8068
CCTV1,http://175.164.140.99:4010/rtp/232.0.0.27:1234
CCTV1,http://116.235.57.22:4022/rtp/239.45.3.145:5140
CCTV1,http://114.107.47.211:8188/rtp/238.1.78.166:7200
CCTV1,http://111.227.194.26:4022/rtp/239.254.200.45:8008
CCTV1,http://61.159.134.127:4022/rtp/238.255.2.91:5999
